Designator,Footprint,Quantity,Value,LCSC Part #
7.5V,TestPoint_Keystone_5019_Miniature,1,RELAY,
"C1, C10, C11, C12, C13, C19, C2, C20, C30, C31, C32, C34, C35, C5, C7, C8",0603,16,10u,
"C14, C15, C16, C17, C18, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C33, C9",0603,17,100n,
C37,CAPAE830X1050N,1,220u,
"C4, C6",0603,2,1n,
"D1, D2",SOT65P210X110-3N,2,BAV199WQ-7,
"D10, D9",PMEG6020ER115,2,PMEG6020ER,
"D3, D4",SODFL3619X98N,2,SMF4L24AT1G,
"D5, D6, D7, D8",SOT95P230X110-3N,4,BAT54S,
F1,0154100DR,1,0154007.DR,
F2,SF2410FP100W2,1,SF-2410FP100W-2,
FB1,0603,1,BLM18HE601SN1D,
G,TestPoint_Keystone_5019_Miniature,1,GND,
IC1,SON65P200X200X80-7N,1,TLV76733DRVR,
IC2,SON50P200X200X80-9N,1,OPA2387DSGT,
IC3,SOT95P280X145-6N,1,LMR54406DBVR,
IC4,QFP50P900X900X160-48N,1,STM32G431CBT6,
IC5,SOT95P280X145-6N,1,TPD4E1U06DBVR,
IC6,QFN50P400X400X100-25N-D,1,STUSB4500QTR,
IC7,SON50P300X200X80-9N,1,MAX16171ATA_VY+T,
IC8,SOP65P490X110-9N,1,LTC4440AHMS8E,
IC9,SOT95P280X145-5N,1,INA281A5QDBVRQ1,
J1,USB4110GFA,1,USB4110-GF-A,
J2,691243110009,1,691243110009,
J4,RHDR6W97P0X254_1X6_1574X250X865P,1,61300611821,
"J5, J6",TSW-102-XX-YY-S,2,TSW-102-07-T-S,
J7,TSW-108-XX-YY-S,1,TSW-108-07-T-S,
L1,INDPM7366X300N,1,SRP7028CC-150M,
LS1,CMI9653SSMTTR,1,CMI-9653S-SMT-TR,
Q1,STL9P3LLH6,1,STL9P3LLH6,
Q2,STL10N3LLH5,1,STL10N3LLH5,
Q3,SOT95P230X110-3N,1,2N7002NXAKR,
"R1, R14, R17, R5",0603,4,1k5,
"R10, R3",0603,2,220k,
"R11, R12, R15, R21, R24",0603,5,22k,
"R13, R16, R34, R43, R46, R47, R48",0603,7,100,
"R18, R19, R20, R22, R23, R25, R26, R27, R28, R29, R30, R31, R32, R33, R35, R36, R37, R38, R4, R6",0603,20,4k7,
"R2, R7, R8, R9",0603,4,360k,
R42,RESC6432X89N,1,5m,
R44,0805,1,1M,
R45,0805,1,100m,
"R49, R50",0603,2,10,
"S1, S2, S3",ADTSM644RVTR,3,ADTSM644RVTR,
TFT1,Adafruit_240x320_TFT,1,~,
U2,PEC11J9215FS0015,1,PEC11J-9215F-S0015,
U3,BSC014N04LS,1,BSC014N04LS,
