Designator,Mid X,Mid Y,Rotation,Layer
7.5V,-29.35,50.1,0.0,bottom
C1,-30.3,60.025,270.0,bottom
C10,-9.0,6.6,90.0,bottom
C11,-10.3,11.25,180.0,bottom
C12,-10.3,12.76,180.0,bottom
C13,-10.3,14.25,180.0,bottom
C14,-22.3,44.1,0.0,bottom
C15,-23.3,32.45,0.0,bottom
C16,-14.5,32.45,180.0,bottom
C17,-24.5,42.5,270.0,bottom
C18,-11.925,36.95,180.0,bottom
C19,-11.925,35.45,180.0,bottom
C2,-35.4,60.025,90.0,bottom
C20,-11.5,32.45,180.0,bottom
C21,-26.35,21.9,180.0,bottom
C22,-20.25,17.4,0.0,bottom
C23,-20.25,23.4,0.0,bottom
C24,-33.6,53.6,0.0,bottom
C25,-3.8375,31.515,0.0,bottom
C26,-3.8375,36.015,0.0,bottom
C27,-3.8375,40.515,0.0,bottom
C28,-26.35,17.4,0.0,bottom
C29,-26.4,10.3,0.0,bottom
C3,-36.4,72.85,270.0,bottom
C30,-16.5,65.25,0.0,bottom
C31,-16.475,63.74,0.0,bottom
C32,-25.25,68.25,270.0,bottom
C33,-23.75,68.25,270.0,bottom
C34,-17.3,72.6,180.0,bottom
C35,-17.3,74.0,180.0,bottom
C37,-24.65,76.2,0.0,bottom
C4,-16.05,45.6,180.0,bottom
C5,-30.6,72.875,90.0,bottom
C6,-19.25,45.75,0.0,bottom
C7,-28.1,60.1,0.0,bottom
C8,-28.1,61.6,0.0,bottom
C9,-3.75,8.5,90.0,bottom
D1,-13.6,57.35,0.0,bottom
D10,-11.8,64.2,180.0,bottom
D2,-13.6,54.4,0.0,bottom
D3,-11.0,7.3,270.0,bottom
D4,-18.1,70.7,0.0,bottom
D5,-7.3375,38.015,0.0,bottom
D6,-7.3375,33.515,0.0,bottom
D7,-28.75,54.45,0.0,bottom
D8,-7.3375,29.015,0.0,bottom
D9,-20.9,64.25,0.0,bottom
F1,-12.4,79.6,180.0,bottom
F2,-13.0,48.9,90.0,bottom
FB1,-11.925,33.95,180.0,bottom
FID1,-32.0,40.0,0.0,bottom
FID2,-28.0,7.0,0.0,bottom
FID3,-31.0,79.0,0.0,bottom
G,-29.4,46.55,0.0,bottom
IC1,-32.85,60.1,180.0,bottom
IC2,-18.15,49.15,0.0,bottom
IC3,-33.5,73.15,180.0,bottom
IC4,-18.9,38.1,270.0,bottom
IC5,-21.25,11.35,0.0,bottom
IC6,-14.75,12.5,90.0,bottom
IC7,-6.25,18.3,90.0,bottom
IC8,-19.112,67.775,180.0,bottom
IC9,-11.05,43.0,180.0,bottom
J1,-19.5,4.963,0.0,bottom
J2,-3.75,57.8,270.0,bottom
J3,-4.595,25.9,90.0,bottom
J4,-37.5,34.34,270.0,bottom
J5,-37.75,75.805,270.0,top
J6,-1.25,75.805,270.0,top
J7,-20.77,25.92,0.0,top
L1,-33.6,66.6,270.0,bottom
LS1,-33.9,18.75,270.0,bottom
Q1,-5.0,12.25,90.0,bottom
Q2,-2.275,19.645,0.0,bottom
Q3,-37.0,10.2,90.0,bottom
R1,-10.3,57.4,0.0,bottom
R10,-17.25,55.4,0.0,bottom
R11,-28.1,66.1,0.0,bottom
R12,-6.0,9.25,0.0,bottom
R13,-6.0,7.75,180.0,bottom
R14,-8.05,12.75,270.0,bottom
R15,-10.3,15.95,180.0,bottom
R16,-26.35,18.9,0.0,bottom
R17,-14.75,16.2,180.0,bottom
R18,-4.5875,29.265,90.0,bottom
R19,-4.5875,33.765,90.0,bottom
R2,-15.25,49.35,270.0,bottom
R20,-4.5875,38.265,90.0,bottom
R21,-33.6,56.7,180.0,bottom
R22,-3.0875,38.265,90.0,bottom
R23,-34.5,10.2,90.0,bottom
R24,-33.6,55.1,0.0,bottom
R25,-3.0875,33.765,90.0,bottom
R26,-10.25,22.5,180.0,bottom
R27,-7.25,22.5,0.0,bottom
R28,-31.4,54.4,270.0,bottom
R29,-3.0875,29.265,90.0,bottom
R3,-16.05,47.1,180.0,bottom
R30,-26.35,20.4,180.0,bottom
R31,-20.25,15.9,0.0,bottom
R32,-20.25,21.9,0.0,bottom
R33,-33.6,52.1,0.0,bottom
R34,-33.0,10.2,270.0,bottom
R35,-26.35,15.9,0.0,bottom
R36,-26.4,11.8,180.0,bottom
R37,-31.5,10.2,90.0,bottom
R38,-24.5,66.1,0.0,bottom
R4,-16.5,57.55,270.0,bottom
R42,-13.5,61.0,0.0,bottom
R43,-20.25,18.9,180.0,bottom
R44,-10.4,50.1125,90.0,bottom
R45,-10.4,46.8875,90.0,bottom
R46,-20.25,20.4,180.0,bottom
R47,-26.4,13.3,0.0,bottom
R48,-26.4,8.8,0.0,bottom
R49,-19.45,52.85,90.0,bottom
R5,-10.3,54.6,0.0,bottom
R50,-17.25,53.7,0.0,bottom
R6,-18.0,57.55,90.0,bottom
R7,-28.1,64.6,180.0,bottom
R8,-28.1,63.1,180.0,bottom
R9,-17.25,52.0,180.0,bottom
S1,-29.75,14.6,270.0,top
S2,-15.75,14.6,270.0,top
S3,-3.75,14.6,270.0,top
TFT1,-19.48,80.002,0.0,top
TP13,-37.5,25.45,0.0,top
TP18,-9.34,25.92,0.0,top
U2,-29.75,14.85,0.0,top
U3,-12.205,73.24,0.0,bottom
